"Original Text","Initial","Machine translation","Better translation","Best translation"
"\f[14]\E睡眠状態が浅いほどGOOD、BAD両ゲージの上昇が早くなりますが
逆に眠りが深い時は行動に制限を受けません。","","","\E\font[3]\f[18]\-[2]When in a shallow sleep state, the ""GOOD"" and ""BAD"" gauges rise faster. 
Conversely, there are no limitations on actions when in a deep sleep state.",""
"\f[14]\EBADの許容量は\c[1]信頼度\c[0]や\c[1]性興味\c[0]を上げることで上昇します。","","","\E\font[3]\f[18]\-[2]The tolerance level for BAD increases by gaining more \c[1]trust and interest\c[0] from your sister.",""
"\f[14]\E着衣の乱れや精液など\c[1]痕跡\c[0]を残さないように気をつけ
最初のうちはとにかく\c[2]バレないように\c[0]してみましょう。","","","\E\font[3]\f[18]\-[2]Be careful not to leave any evidence behind, \c[1]such as messy clothes or bodily fluids.\c[0]
Especially in the beginning, let's make every effort to \c[2]avoid getting caught.\c[0]",""
"cg/tips_05.png","","","",""
"cg/tips_06.png","","","",""
"Picture/sd_icon04.png","","","",""
"\f[14]\E<C>Tips　バトルについて","","","\E\font[3]\f[18]\-[2]<C>Tips on Battles",""
"\f[14]\Eバトルは\c[1]1ターン\c[0]に\c[1]1回\c[0]キャラクターを選択し行動を選ぶことで進行します。","","\f[14]\EThe battle progresses by selecting a character and choosing an action once per turn.\c[1]\c[0]\c[1]\c[0]","\E\font[3]\f[18]\-[2]The battle progresses by selecting a character and choosing an action \c[1]once per turn.\c[0]",""
"\f[14]\E互いに行動を繰り返し、先に\c[2]戦力\c[0]を全て奪った陣営の勝利となります。","","\f[14]\EBoth sides repeat their actions, and the victory goes to the faction that first \c[2]depletes all their \c[0]forces.","\E\font[3]\f[18]\-[2]You and your enemy take turns performing actions, 
and the side that depletes the other's \c[2]fighting strength\c[0] first wins.",""
"\f[14]\E各行動は使用スキルに応じた\c[2]行動ポイント（★）\c[0]を消費します。
行動ポイントは毎ターンの初めに\c[2]2ポイント\c[0]回復します。
　","","\f[14]\EEach action consumes Action Points (★) based on the skill used.\c[2] Action Points are restored by 2 points at the beginning of each turn.\c[0]
\c[2]\c[0]
","\E\font[3]\f[18]\-[2]Each action costs a certain number of \c[2]Action Points (\font[0]★\font[3])\c[0] depending on the skill used. 
By default, \c[2]2 Action Points\c[0] are generated at the start of each turn.",""
"\f[14]\Eまた、各キャラクターそれぞれ\c[2]動ける回数\c[0]が決まっています。
顔アイコン横の■が残りの動ける回数です。","","\f[14]\EIn addition, each character has a predetermined number of times they can move.\c[2]The ■ next to the face icon indicates the remaining number of moves. \c[0]
","\E\font[3]\f[18]\-[2]Furthermore, each character has a \c[2]predetermined number of times they can move.\c[0]
The \font[0]■\font[3] next to the face icon indicates the remaining available moves.",""
"\f[14]\E10ターン以内に勝負がつかなかった場合は
その時点で\c[1]戦力比\c[0]の多い陣営の勝利となります。","","\f[14]\EIf the game is not decided within 10 turns, 
the side with a higher power ratio at that time \c[1]will be declared the winner. \c[0]","\E\font[3]\f[18]\-[2]If the battle exceeds 10 turns without a clear winner, victory will be awarded 
to the team with the higher \c[1]fighting strength ratio.\c[0]",""
"cg/tips_07.png","","","",""
"cg/tips_08.png","","","",""
"\f[14]\E<C>Tips　討伐/冒険について","","","\E\font[3]\f[18]\-[2]<C>Tips on Subjugation Req./Adventure",""
"cg/tips_09.png","","","",""
"\f[14]\E大冒険、討伐は各コマンドを実行しクエストクリアを目指します。","","","\E\font[3]\f[18]\-[2]Throughout the subjugation request and grand adventure, your goal is to complete 
quests by executing various commands.",""
"\f[14]\E\c[1]進む\c[0]、\c[1]背負う\c[0]コマンドは進行度が進みますが行動力が減ります。","","","\E\font[3]\f[18]\-[2]The \c[1]advance\c[0] and \c[1]carry sister\c[0] commands increase the progression level 
but they consume your stamina.",""
"\f[14]\E行動力、妹の体調が0になると冒険は終了となりますので
上手く休憩しながらクエスト達成を目指してください。","","","\E\font[3]\f[18]\-[2]It's important to take sufficient breaks while working towards completing the quest, 
as the journey will end once your stamina or your sister's condition reach 0.",""
"\f[14]\E冒険中は進む毎にイベントカードがめくられ、
各種イベントが発生します。","","","\E\font[3]\f[18]\-[2]During the journey, an event card is revealed with each step, 
which triggers various events.",""
"\f[14]\E進行度が最大になると討伐対象との戦闘、
あるいはクエストクリアとなります。","","","\E\font[3]\f[18]\-[2]When the progression level reaches its maximum, you will either engage in a battle 
with the target or mark the quest as completed.",""
"cg/tips_12.png","","","",""
"\f[14]\Eお兄ちゃんの調子が低いと鍛錬で貰える経験が少なくなります。
調子は「おちんちんびろーん」で上げることが出来ます。","","","\E\font[3]\f[18]\-[2]If you're feeling down, your training efficiency may decrease. 
To improve your condition, you can utilize the ""get dick out"" option in the interaction commands.",""
"\f[14]\E適度なびろーんで調子を整えましょう！","","","\E\font[3]\f[18]\-[2]Let's do it in moderation!",""
"\f[14]\E地域貢献や討伐を行うことで収入を増やすことができます。
不意な妊娠、爆発に備えて保存は\c[1]こまめ\c[0]に\c[1]別けて\c[0]おきましょう。","","","\E\font[3]\f[18]\-[2]You can increase your income by doing local contributions or completing subjugation requests. 
Save \c[1]often\c[0] and \c[1]separate\c[0] your progresses in case of unexpected pregnancies or BAD END(s).",""
"\f[14]\E敵が強いと思ったら\c[1]戦闘スキル\c[0]を習得しましょう。
単体では逆に不利になるスキルもありますので注意しましょう。","","","\E\font[3]\f[18]\-[2]If you find the enemies to be strong, consider getting more \c[1]combat skills. \c[0]
However, be mindful that some skills can work against you when used individually.",""
"\>\f[14]\EVer1.0.0リリースしました！　2022.2.10
Ver1.1.0追加アップデート1　2022.2.10
不具合修正、ストーリークリア後コンテンツに討伐、大冒険を追加。
Ver1.1.1不具合修正　　　2022.2.11
誤字、不具合の修正をいたしました。
Ver1.1.2不具合修正　　　2022.2.14
誤字、不具合の修正をいたしました。
Ver1.1.3不具合修正、追加 2022.2.17
誤字や不具合の修正、一部バランスに関わる調整を行いました。
Ver1.1.4不具合修正、調整 2022.2.23
誤字や不具合の修正、一部シーンで早送り機能追加。
Ver1.2.0不具合修正、調整 2022.4.27
SDイラスト3点追加、水着立ち絵追加、各キャラ普段着立ち絵追加
ストーリークリア後休日の外出先に海を追加。
ストーリークリア後カスミ未加入の際に加入イベント追加。
夢精イベントに妹を追加。
　","","\>\f[14]\EVersion 1.0.0 has been released! 2022.2.10
Version 1.1.0 Additional Update 1 2022.2.10
Bug fixes, added subjugation and grand adventure to post-story clear content.
Version 1.1.1 Bug fixes 2022.2.11
Typos and bug fixes have been made.
Version 1.1.2 Bug fixes 2022.2.14
Typos and bug fixes have been made.
Version 1.1.3 Bug fixes, additions 2022.2.17
Typos and bug fixes, adjustments related to balance have been made.
Version 1.1.4 Bug fixes, adjustments 2022.2.23
Typos and bug fixes, fast-forward function added to certain scenes.
Version 1.2.0 Bug fixes, adjustments 2022.4.27
Added 3 SD illustrations, added swimsuit standing illustrations, added casual attire standing illustrations for each character
Added a beach as a post-story clear outing location.
Added an event for joining Kasumi after clearing the story.
Added a sister to the wet dream event.
","\>\font[3]\-[2]\f[14]\EVersion 1.0.0 Released! - February 10, 2022
Version 1.1.0 Bug Fix and Addition - February 10, 2022
Bug fixes, added subjugation and grand adventure to post-story clear content
Version 1.1.1 Bug Fix - February 11, 2022
Typos and bug fixes
Version 1.1.2 Bug Fix - February 14, 2022
Typos and bug fixes
Version 1.1.3 Bug Fix and Addition - February 17, 2022
Typos and bug fixes, and made adjustments related to balance in some parts
Version 1.1.4 Bug Fix and Adjustment - February 23, 2022
Typos and bug fixes, fast-forward function added to certain scenes
Version 1.2.0 Bug Fix and Adjustment - April 27, 2022
Added 3 SD portraits, added swimsuit standing portraits, added casual 
attire standing portraits for each character
Added beach as a post-story clear outing location.
Added an event for joining Kasumi after clearing the story.
Added sister to the wet dream event

",""
"\>\f[14]\EVer1.3.0大型追加アップデート　2022.6.17
■追加
・テーマイベント「爆発！？ウキウキッ大作戦！」を追加

・日中ランダムイベントを追加
・夜ランダムイベントを追加
・外食コマンドを追加
・深夜パートうつ伏せ時にお尻に挟むを追加
・深夜パート横向き時にアナル挿入を追加
・外出先に温泉を追加
・温泉覗きイベント追加
・温泉パンツハントイベントを追加
・パンツ図鑑にギルドメンバーのパンツを追加
・いくつかのスキルを追加
■システム
・戦闘にダウンシステムを追加
・能力の上限値を500まで解放
※イベント発生後

他不具合の修正など

詳細は付属の更新履歴ファイルをご参照下さい。
　　","","\>\f[14]\EVer1.3.0 Major Update - June 17, 2022
■ Additions
・Added theme event ""Explosive!? Exciting Operation!""

・Added daytime random events
・Added nighttime random events
・Added dining out command
・Added ""Pinching the Butt"" during lying face down in the late-night section
・Added ""Anal Insertion"" during lying sideways in the late-night section
・Added hot springs to go out to
・Added hot spring peeping event
・Added hot spring panty hunt event
・Added guild members' panties to the panty encyclopedia
・Added several skills
■ System
・Added down system to battles
・Unlocked the upper limit of abilities up to 500
※After the event occurs

and other bug fixes

Please refer to the attached update history file for details.
","\>\font[3]\-[2]\f[14]\EVersion 1.3.0 Major Update - June 17, 2022
\font[0]■\font[3] Additions
- Added theme event: ""Explosive!? Exciting Operation!""
- Added daytime random events
- Added nighttime random events
- Added dining out command
- Added ""squeeze between butt"" option when lying face down in 
midnight (touching) activity
- Added ""anal insertion"" option when lying sideways in midnight 
(touching) activity
- Added hot springs as a new outing location
- Added hot spring peeping event
- Added hot spring panty hunt event
- Added guild members' panties to the panties encyclopedia
- Added several skills

\font[0]■\font[3] System
- Added the ""down"" system to battles
- Increased max stats limit to 500
※ Available after triggering specific events

Other bug fixes and improvements

Please refer to the included update history file for more details

",""
"\>\f[14]\EVer1.3.1　2022.6.20
不具合修正
\f[14]\EVer1.3.2　2022.7.12
不具合修正
\f[14]\EVer1.3.3　2022.8.23
不具合修正
　","","","\>\font[3]\-[2]\f[14]\EVersion 1.3.1 - June 20, 2022
Bug fixes
Version 1.3.2 - July 12, 2022
Bug fixes
Version 1.3.3 - August 23, 2022
Bug fixes

",""
"\>\f[14]\EVer1.4.0大型追加アップデート 2023.5.26

■システム
　・ウディタ3.0対応
　・選択肢UI変更
　・UI変更に伴いディフォルメCG23追加
　・オートセーブ機能実装
　　‥夜（妊娠判定がない場合）自動保存
　・セーブ/ロード画面UI改良
　・引き継ぎシステム追加
　・所持しているパジャマを引き継ぐように変更
　","","","\>\font[3]\-[2]\f[14]\EVersion 1.4.0 Major Update - May 26, 2023

\font[0]■\font[3] System
- Upgraded to Wolf 3.0
- Changed the choice selection UI
- Added 23 SD CGs to match the UI changes
- Implemented auto-save feature
  - Automatically saves during the night (if there is no pregnancy)
- Improved save/load screen UI
- Added carry over system
- Changed to carry over owned pajamas from previous saves

",""
"\>\f[14]\E
■ゲームパート
　・夕日背景CG修正
　・世界樹の森背景CG修正
　・世界樹背景CG修正
　・海背景1CG修正
　・海背景2CG修正
　・妹に起こされるCG追加
　・街移動時にCGを追加
　・街帰還時にCGを追加
　・散歩にCGを追加
　・日中ランダムイベント追加（25種）
　・自宅ランダムイベント追加（10種）
　・ストーリーイベントを追加
　　‥合宿帰還後あたりにイベントを追加
　・新規分岐シナリオを追加
　　‥初回のアカツキに勝利した際に分岐
　・ユイの体力トレーニングにCGを追加
　・カナの修行イベントにCGを追加
　・カスミの初回登場時にCGを追加
　・カスミに好感度イベントを追加
　・カナ、ユイ、カスミ、ユカリ好感度イベントにCGを追加
　・最終戦前にCG追加
　・温泉イベント会話時に差分追加
　・大冒険クリア後すぐ超大冒険を実行できるよう変更
　","","","\>\font[3]\-[2]\f[14]\E
\font[0]■\font[3] Game Part
- Adjusted sunset background CG
- Adjusted World Tree Forest background CG
- Adjusted World Tree background CG
- Adjusted beach background 1 CG
- Adjusted beach background 2 CG
- Added CG for being woken up by sister
- Added CG when moving around the city
- Added CG when returning to the city
- Added CG for strolling
- Added daytime random events (25 types)
- Added home random events (10 types)
- Added story events
  - Added events around the time of returning from the training camp
- Added new branching scenarios
  - Branches upon winning against Akatsuki for the first time
- Added CG for Yui's physical training
- Added CG for Kana's training event
- Added CG for Kasumi's initial appearance
- Added events to increase Kasumi's favorability
- Added CG for favorability events with Kana, Yui, Kasumi, and Yukari
- Added CG before the final battle
- Added variations to the hot springs event conversations
- Changed so that the Super Grand Adventure can be performed immediately 
after clearing the Grand Adventure

",""
"\>\f[14]\E
■Hイベント
　・サブキャラシャワー覗きCG修正
　・温泉イベントCG修正
　・ランダムイベントオナニー目撃を追加
　・外食におっぱいチャレンジを追加
　・妹の夢精イベントその2を追加
　・休日泳ぎに行くからHするを追加
　・パンツハントにパンコキ派生イベントを追加
　・騎乗位での中出しを追加（大冒険クリア後）
　・スパイダー騎乗位を追加（大冒険クリア後）
■深夜パート
　・既存事後で怒る率が高すぎたので修正
　・同意H終了時に事後CGを追加
　　‥ほぼ裸であることが必要です
　・手つなぎ演出追加
　・ゴム、ティッシュ見る追加
　・口内射精カットインを追加
　・大冒険クリア後の中出し時リアクションを調整
■その他
　・テキスト調整
　・CG/演出調整

他不具合の修正など

詳細は付属の更新履歴ファイルをご参照下さい。
　","","","\>\font[3]\-[2]\f[14]\E
\font[0]■\font[3] H Events
- Adjusted sub-character shower peeping CG
- Adjusted hot springs event CG
- Added witnessing masturbation event to random events
- Added boobs challenge during dining out
- Added second dream event featuring the sister
- Added option to have sex during beach outing
- Added panty hunt event with pantyjob variation
- Added vaginal cumshot during cowgirl position 
(after clearing the Grand Adventure)
- Added spider cowgirl position 
(after clearing the Grand Adventure)

\font[0]■\font[3] midnight (touching) Activities
- Adjusted the frequency of getting angry in existing post-H scenes
- Added consensual sex post-H CG
  - Nudity is required in most cases
- Added hand-holding gesture
- Added scenes of looking at condoms and tissues
- Added cut-in for ejaculation in the mouth
- Adjusted reactions during creampie after clearing the Grand Adventure

\font[0]■\font[3] Other
- Adjusted text
- Adjusted CG and effects

Other bug fixes and improvements

Please refer to the included update history file for more details

",""
"\>\f[14]\EVer1.4.1 2023.5.26
軽微な不具合の修正
Ver1.4.11 2023.5.27
体調チュートリアル後ゲームが進行不能になってしまう不具合の修正
Ver1.4.2 2023.5.30
　・深夜意図しないタイミングでステータス画面などが開けてしまう現象の修正
　・SAVEフォルダ内にサムネイル画像が無い場合でも処理を継続するよう修正
　・セーブ/ロード選択時保存箇所が先頭ページに戻る現象へ対処
　・引き継ぎで仲間のレベルを最大にした際の不具合を修正
　・温泉イベント中にゲームが停止してしまう不具合への対応
　・手繋ぎ演出が体位を変えても残ってしまう現象の修正
　・超大冒険の進行度が100日目でリセットされてしまう現象の修正
　・深夜悪戯時に意図しないタイミングで瞬きしてしまう現象への対処
　・ランダムイベントで博士のイベント処理を変更
　・体位69時に限界を超えて射精できてしまう現象の修正
　・カスミの好感度イベントが繰り返し発生する現象の修正
　・「Hしたい」を断られた際に旧選択肢表示になる現象の修正
　・特定条件下で時間外にトレーニングなどが実行出来る現象へ対処
　・引き継ぎPの最大値を30に設定
　・その他軽微なバグ・誤字等の修正
Ver1.4.3 2023.6.6
　・深夜意図していないタイミングで瞬きが発生する現象の修正
　・その他軽微なバグ・誤字等の修正
　","","","\>\font[3]\-[2]\f[14]\EVersion 1.4.1 - May 26, 2023
Fixed minor bugs
Version 1.4.11 - May 27, 2023
Fixed a bug where the game becomes unplayable after the health tutorial
Version 1.4.2 - May 30, 2023
- Fixed an issue where status screen unexpectedly open during midnight 
(touching) activity
- Fixed a bug where the game continues processing even if thumbnail images 
are missing in the SAVE folder
- Addressed the issue where the save/load selection returns to the first page
- Fixed a bug related to leveling up companions to the maximum during 
carry over
- Addressed the issue where the game freezes during the hot springs event
- Fixed the issue where the hand-holding gesture remains even when changing 
positions
- Fixed the issue where the progress of the Grand Adventure resets on 
the 100th day
- Addressed the issue where blinking occurs at unintended moments during 
midnight (touching) activity
- Modified the event handling for the Doctor's event during random events
- Fixed the issue where excessive ejaculation is possible during the 69 
position
- Fixed the issue where Kasumi's favorability event occurs repeatedly
- Fixed the issue where the old selection display appears when rejected 
with ""Let's have sex!""
- Addressed the issue where certain conditions allow training and other 
activities outside of regular hours
- Set the maximum carry over points to 30
- Minor bug fixes, typo corrections, and other improvements
Version 1.4.3 - June 6, 2023
- Fixed the issue where blinking occurs at unintended moments during 
midnight scenes
- Minor bug fixes, typo corrections, and other improvements

",""
"\>\f[14]\EVer1.4.4 2023.7.2
誤字や脱字その他軽微な不具合の修正

　","","\>\f[14]\E Version 1.4% 2023.7 Fix typos, dropouts and other minor glitches","\>\font[3]\-[2]\f[14]\EVersion 1.4.4 - July 2, 2023
Fixed typos, misspellings and other minor bugs",""
"ステ","","","",""
"パンツ","","","",""
"■お触り判定設定","","","",""
"マウスでのお触り判定を作ります","","","",""
"ポーズによって判定範囲を変えてください","","","",""
"self0=確認用透明度　普段は0で使用してね","","","",""
"仰向け1","","","",""
"かお","","","",""
"くち","","","",""
"あたま","","","",""
"むね","","","",""
"乳首舐め","","","",""
"こかん","","","",""
"脱いだぱんつ","","","",""
"クンニ","","","",""
"横向き1","","","",""
"うつ伏せ1","","","",""
"しり","","","",""
"お尻愛撫中（揉み、撫で）にクリックでアナル舐め","","","",""
"アナル舐め","","","",""
"お尻","","","",""
"カーソル変更","","","",""
"顔を見る","","","",""
"CharaChip/look.png","","","",""
"キス","","","",""
"CharaChip/talk.png","","","",""
"頭を撫でる","","","",""
"CharaChip/hand1.png","","","",""
"胸を見る","","","",""
"あそこを見る","","","",""
"パンツを見る","","","",""
"お尻を見る","","","",""
"ちくび舐める　左","","","",""
"ちくび舐める　右","","","",""
"アナル　舐める","","","",""
"ゴム","","","",""
"ティッシュ","","","",""
"■■処理さわる右","","","",""
"カットイン呼び出しパラメータの変動","","","",""
"テキストの表示など実際の処理を行います","","","",""
"触るおっぱい","","","",""
"揉むおっぱい","","","",""
"ちくび","","","",""
"触るおしり","","","",""
"揉むおしり","","","",""
"おしり中","","","",""
"hscene/h_s02_action_handanal02.png","","","",""
"hscene/h_s04_action_handanal01.png","","","",""
"hscene/h_s06_action_anal01.png","","","",""
"hscene/h_s07_action_teanal01.png","","","",""
"hscene/h_s02_action_handanal01.png","","","",""
"\Eだ、ダメだよ…。","","","\E\font[3]\f[18]\-[2]Yo, you can't...",""
"\E…そこは…だめ……。","","","\E\font[3]\f[18]\-[2]...That's... you can't...",""
"\E…やだっ…やめて！","","","\E\font[3]\f[18]\-[2]...Noo... stop!",""
"\E…や、そんなとこ…やめてっ！","","","\E\font[3]\f[18]\-[2]...No, this kind of thing... cut it out!!",""
"hscene/h_s07_action_teanal02_2.png","","","",""
"hscene/h_s07_action_teanal02.png","","","",""
"hscene/h_s10_action_teman01.png","","","",""
"hscene/h_s01_action_handmanko03.png","","","",""
"hscene/h_s01_action_handmanko02.png","","","",""
"hscene/h_s02_action_handmanko01.png","","","",""
"hscene/h_s04_action_teman01.png","","","",""
"hscene/h_s05_action_teman01.png","","","",""
"hscene/h_s06_action_teman01.png","","","",""
"hscene/h_s07_action_teman01_2.png","","","",""
"hscene/h_s07_action_teman01.png","","","",""
"\E…だめ…。","","","\E\font[3]\f[18]\-[2]...You can't...",""
"\Eっ………あっ…！","","","\E\font[3]\f[18]\-[2]A.... ah...!",""
"\E…そんな…とこ…。","","","\E\font[3]\f[18]\-[2]...That... place...",""
"\E…そこ…だめぇ……。","","","\E\font[3]\f[18]\-[2]...Not... there....",""
"\E…そこはダメだよ…。","","","\E\font[3]\f[18]\-[2]...You can't there...",""
"\E………っ…！","","","\E\font[3]\f[18]\-[2]....A..!",""
"\E…やぁ……ん…。","","","\E\font[3]\f[18]\-[2]...Yah....nn...",""
"\E…だ、だめぇ……。","","","\E\font[3]\f[18]\-[2]...N, no... don't...",""
"\E…だ、だめ…。","","","\E\font[3]\f[18]\-[2]...Do, don't...",""
"hscene/h_s07_action_teman02.png","","","",""
"hscene/h_s10_action_teman02.png","","","",""
"hscene/h_s01_action_handmanko01.png","","","",""
"hscene/h_s02_action_handmanko02.png","","","",""
"hscene/h_s04_action_teman02.png","","","",""
"hscene/h_s05_action_teman02.png","","","",""
"hscene/h_s06_action_teman02.png","","","",""
"\E…濡れてないと…ちょっと痛いから…。","","","\E\font[3]\f[18]\-[2]...It's a bit painful... if it's not wet...",""
"\E指入れちゃだめ…。","","","\E\font[3]\f[18]\-[2]You can't stick your finger in...",""
"\Eんぅっ…ん…。","","","\E\font[3]\f[18]\-[2]Mmnn... nn...",""
"\Eあっ…やっ……だめぇ…。","","","\E\font[3]\f[18]\-[2]Ah... no... don't...",""
"\E…兄妹で…ダメ…。","","","\E\font[3]\f[18]\-[2]...We're siblings... we shouldn't...",""
"\Eいやっ…お兄ちゃんだめっ！","","","\E\font[3]\f[18]\-[2]Noo... you can't do it, Onii-chan!",""
"絶頂中例外","","","",""
"\Eふぁ…お兄ちゃん…
えっちなこと…してる…。","","","\E\font[3]\f[18]\-[2]Huh... Onii-chan...
You're... doing lewd stuff...",""
"\Eんー…お兄ちゃん…？
なにしてるの…？","","","\E\font[3]\f[18]\-[2]Hmmm... Onii-chan...?
What are you doing...?",""
"※フェラ派生","","","",""
"\E…お口でしてあげるね…。","","","\E\font[3]\f[18]\-[2]...I'll use my mouth, okay...?",""
"\E…手でしてあげるね…。","","","\E\font[3]\f[18]\-[2]...I'll use my hand, okay...?",""
"\E…こうされると…気持ちいいでしょ…？","","","\E\font[3]\f[18]\-[2]...Does this... feel good...?",""
"※手コキ派生","","","",""
"\E…お兄ちゃん…
オナニー…してるの…？","","","\E\font[3]\f[18]\-[2]...Onii-chan...
Are you... masturbating...?",""
"※挿入中オナニー","","","",""
"\E…ぁ…お兄ちゃんのがこすれて…んっ…","","","\E\font[3]\f[18]\-[2]...A... ah, Onii-chan's rubbing my.... nn...",""
"\E…あ…お兄ちゃん…
オナニー…してる…。","","","\E\font[3]\f[18]\-[2]...A... ah, Onii-chan...
You're... masturbating...",""
"\Eっ…出しちゃだめ…だよ…。","","","\E\font[3]\f[18]\-[2]Ah... don't... cum yet...",""
"\Eお、おにいちゃん…その…それ…","","","\E\font[3]\f[18]\-[2]O, Onii-chan... th... there...",""
"□深夜表情の表示","","","",""
"寝てるよ","","","",""
"69","","","",""
"■■■仰向け1■■■","","","",""
"覚醒","","","",""
"cutin/cutin_126.png","","","",""
"cutin/cutin_125.png","","","",""
"まどろみ","","","",""
"睡眠中","","","",""
"■■■横向き1■■■","","","",""
"■■■熱帯夜■■■","","","",""
"■■深夜処理衣服","","","",""
"▼▼▼服を着せる処理です▼▼▼","","","",""
"着せるパジャマ","","","",""
"\E…先にキャミソールを着せたほうがよさそうだな。","","","\E\font[3]\f[18]\-[2]It would be a good idea to put on the camisole first.",""
"\E…今日はもうおしまい…？","","","\E\font[3]\f[18]\-[2]...Is that all for today...?",""
"\Eお兄ちゃんが着せてくれるの…？","","","\E\font[3]\f[18]\-[2]You're going to put it on for me...?",""
"\E…ふぁ…むにゃ…お兄ちゃん…？
あ、あれ…なんで？","","","\E\font[3]\f[18]\-[2]...Hmm... huh... Onii-chan...?
W, why... are you?",""
"\E…絶対に起きると思うが…。","","","\E\font[3]\f[18]\-[2]...She will definitely wake up...",""
"\E…そっとボタンを…。","","","\E\font[3]\f[18]\-[2]...Gently... the buttons...",""
"着せるキャミ","","","",""
"\E…着せちゃうの…？","","","\E\font[3]\f[18]\-[2]...You want to put it on for me...?",""
"\E着せてくれるの…？","","","\E\font[3]\f[18]\-[2]...Will you to put it on for me...?",""
"\E…お兄ちゃん……あれ…？
わたし…なんで裸…？","","","\E\font[3]\f[18]\-[2]...Onii-chan... huh...?
Why am I... naked...?",""
"\E…起きる前に着せておこう…。","","","\E\font[3]\f[18]\-[2]...Let's put her clothes back on before she wakes up...",""
"\E…ひとりでできるよー…。","","","\E\font[3]\f[18]\-[2]...I can do it on my own...",""
"\E…ほどけてるぞ…。","","","\E\font[3]\f[18]\-[2]..It's undone...",""
"\E…むにゃ…？
お兄ちゃん…ありがとう…。","","","\E\font[3]\f[18]\-[2]...Mm...? 
Thank you... Onii-chan...",""
"\E…戻しておくか…。","","","\E\font[3]\f[18]\-[2]...Let's put it back on...",""
"着せる短パン","","","",""
"\Eお兄ちゃん…もっと…
えっちしたい…。","","","\E\font[3]\f[18]\-[2]Onii-chan... more...
Let's have lots of sex...",""
"\Eもっといいよ…？","","","\E\font[3]\f[18]\-[2]I don't mind if you want to do more...",""
"\Eはけばいいの…？","","","\E\font[3]\f[18]\-[2]Just need to put it on...?",""
"\E一人ではけるから…。","","","\E\font[3]\f[18]\-[2]I can do it myself...",""
"\Eお兄ちゃん…何してるの…？","","","\E\font[3]\f[18]\-[2]What are you doing,.. Onii-chan...?",""
"\E…起きて脱いでたらさすがに不自然だよな…。","","","\E\font[3]\f[18]\-[2]...It would be quite odd if she woke up and discovered herself without clothes...",""
"\E…。","","","\E\font[3]\f[18]\-[2]...",""
"\Eそ、そのくらい自分でするから…。","","","\E\font[3]\f[18]\-[2]T, that much... I can do on my own...",""
"\Eお兄ちゃん…くすぐったい…。","","","\E\font[3]\f[18]\-[2]Eheh... it tickles... Onii-chan...",""
"\E…ちゃんと上げとこうか…。","","","\E\font[3]\f[18]\-[2]...Let's put it on properly...",""
"\E……ん…ぅ…。","","","\E\font[3]\f[18]\-[2]......Mm... ugh...",""
"着せるショーツ","","","",""
"\E…お兄ちゃん…お兄ちゃんの精子で…
オナニーしてもいい…？","","","\E\font[3]\f[18]\-[2]...This is... Onii-chan's... 
Is it okay if I masturbate... with Onii-chan's sperm...?",""
"\E…お兄ちゃん…あそこ…ぬるぬるだよ…。","","","\E\font[3]\f[18]\-[2]... Onii-chan... over there... it's slippery...",""
"\Eん…ぬるぬるしてる…。","","","\E\font[3]\f[18]\-[2]Nhn... it's slippery...",""
"\Eそれ…お兄ちゃんの…。","","","\E\font[3]\f[18]\-[2]That is... Onii-chan's...",""
"\Eふぁ…おにいちゃん…
…お股がぬるぬるするの…。","","","\E\font[3]\f[18]\-[2]Fuah... Onii-chan...
...my crotch is slippery...",""
"\E…精液付きのパンツを…よし。","","","\E\font[3]\f[18]\-[2]...Panties with semen on them... Good.",""
"\Eパンツ…汚しちゃうかも…。","","","\E\font[3]\f[18]\-[2]My panties... might get dirty...",""
"\E…はいている方が好きなの…？","","","\E\font[3]\f[18]\-[2]...Do you like it better when I have them on...?",""
"\E脱がせたのに今度ははかせるの…？","","","\E\font[3]\f[18]\-[2]You took it off, but now you want to put it back on...?",""
"\Eパンツくらい一人ではくから…あまり見ないで…。","","","\E\font[3]\f[18]\-[2]I'll put on my panties by myself... so don't stare at me too much...",""
"\Eんぅー…あれ……おにいちゃん…？","","","\E\font[3]\f[18]\-[2]Nngh... huh...? Onii-chan...?",""
"\E…朝になってお尻丸出しはマズイか…。","","","\E\font[3]\f[18]\-[2]...I guess it would be bad if she found her bare butt exposed in the morning...",""
"\Eふふ…お兄ちゃんくすぐったいよ…。","","","\E\font[3]\f[18]\-[2]Hehe... Onii-chan, that tickles...",""
"\Eむにゃ…あれ…？どうしたの…？","","","\E\font[3]\f[18]\-[2]Munya... Huh...? What's wrong...?",""
"\E…よし…これでおっけー。","","","\E\font[3]\f[18]\-[2]...Perfect... that should do it.",""
"▼▼▼服を脱がす処理です▼▼▼","","","",""
"脱がすパジャマ","","","",""
"\E…エッチしてくれるの？","","","\E\font[3]\f[18]\-[2]...Are you going to have sex with me?",""
"\E…うん、脱ぐから待ってね…。","","","\E\font[3]\f[18]\-[2]...Okay, I'll take it off, so give me a second...",""
"\E…見たいの…？","","","\E\font[3]\f[18]\-[2]...You want to see it...?",""
"\E…なんで脱がそうとするの…？","","","\E\font[3]\f[18]\-[2]...Why are you trying to undress me...?",""
"\E…うぅん…なに…？","","","\E\font[3]\f[18]\-[2]...Hmm... what...?",""
"\E…そーっとボタンを…。","","","\E\font[3]\f[18]\-[2]...Gently... the button....",""
